userName,content,score,at
John Suryadi,Sampai sekarang tidak ada kendala dalam pemakaian fungsi dari app ini. Mantap,5,2023-07-07 10:14:33
Aidil Pratama,Tapi kok sekarang gak bisa log in? Yi hi,4,2023-07-06 06:46:20
RIZKI FIRDAUS,"Kecewa, banyak kekurangan diantaranya mudah log out sendiri tapi untuk login susah, pembayaran, bahasa dan lainya masih kurang, sorry gw penikmat coffee Starbucks aga kecewa sama ni apk",1,2023-07-01 12:30:16
Abdi,Minumannya gak enak,1,2023-06-30 07:23:24
Boyolali Pro,"Gak bisa pakai dana, shopee pay, gopay gitu ya. Kirain bisa pesan lewat aplikasi seperti punya fore coffee, kopi kenangan. Terus ini bahasa campur, kalau Indonesia ya Indonesia semua paham gak sih sumpah pemuda 1928? This is Indonesia,no England, no usa.",1,2023-06-27 16:44:21
Akira Navi,"Gabisa sign up harus pake referall code? Tulisannya abu-abu gabisa diklik padahal udah semua diisi, gimana ini?",3,2023-06-26 03:12:45
Chandra Kurniawan,"Gak Terima email dan otp malah teregister lucu ini APKnya, didaftarkan ulang tidak bisa lagi",1,2023-06-25 07:16:14
fhanny julia,Bobrok banget,1,2023-06-22 23:06:13
Kiki Mulyana,Good,5,2023-06-21 07:36:29
Rasendriya Althaf,Hai aplikasinya bagus banget dan sudah lengkap dan makanannya enak-enak mantap Coffeenya juga pokoknya starbucks mantap banget terima kasih starbucks Indonesia,5,2023-06-20 16:21:18
Muhamad Bagus Setiawan,Banyak bug,1,2023-06-18 06:07:27
Frido Yoga,Saya baru saja ganti pasword untuk pindah ke handphone baru saya masa ga bisa login trus gimana nih,3,2023-06-17 02:31:31
Marhusarianto Sinaga,Bagus,3,2023-06-16 14:32:06
Devina,Makasih min dah di bantu 🥰🥰🥰🥰🥰,5,2023-06-13 08:54:58
Bang Zoel,saya rasa sudah ok untuk keamanan pin ya baik,5,2023-06-13 06:25:41
Nhurul Orlin,Apakah cm utk jabodetabek?,1,2023-06-12 13:50:52
Rindu,Brands applikasi yg registerny paling ribet... Brand2 lain gak si ribet ini...🤪,1,2023-06-11 00:45:41
Annisa Raya,"Aplikasi sulit, tidak mudah dan nyaman untuk digunakan",1,2023-06-10 04:08:16
Airlangga Metarium,So far TIDAK ada kendala dan sangat puas penggunaan nya Mungkin masukan agar bisa memilih design ecard nya sendiri jadi point plus,5,2023-06-08 17:55:42
Muhammad Yongky Fernanda,Oke,5,2023-06-08 14:24:18
Siang Setiawan,Goodddddd,5,2023-06-08 13:09:52
David Tambunan,Aplikasi nya bagus tapi untuk store nya belum masuk semua di apk jadi tidak bisa melakukan pembayaran,5,2023-06-07 13:58:42
Kharis Tauvani,Gk bisa registrasi,1,2023-06-05 13:06:05
Dejan Ahmad arsy,Jelek,1,2023-06-02 02:21:04
Akbar Madi,aplikasi nya sangat membantu perkembangan mood saya.,5,2023-06-01 15:12:49
pradipta22 dita,Sangat susah digunakan ribet gagal mulu regrtasi lah sudah terdaftar lah ga jelas👎👎👎👎,1,2023-05-31 15:27:04
Yusuf Wijaya,Aplikasinya keren,5,2023-05-31 10:03:48
Lintang Cahya,Hhi,4,2023-05-30 10:56:20
Dapoer 25,"Ka, saya udah email. Tolong bantu saya, saya mau login tp lupa alamat email. Bisa tolong bantu mnggunakan nomor telpon? Saya ingat pin di Starbucks ecard nya. Thx.",4,2023-05-23 15:03:58
Elyzzabeth mayorga ambarita,Kok mau upgrade ke premium susah bgt ya..udh dicoba beberapa kali failed mulu,1,2023-05-22 08:01:15
A. Walitakhri,"Kok pilih store di kota Makassar, blm bisa? Perlu update uplikasinya",2,2023-05-21 12:47:57
aconk lodskey,Good,5,2023-05-11 02:12:50
Indri Kumala,Reward sy hilang padahal belum tanggal expirednya,2,2023-05-10 03:49:29
Rendi Sugara,"Lokasi saya di batam. Malah outlet di jakarta yg di kasih. Mau order jdi bingung pickup nya dmna. Di click outlet di batam tidak ketemu, sangat membingungkan",2,2023-05-04 23:44:36
Andres Yudha Dwiputra,tidak bisa login,1,2023-05-02 09:17:27
Eric Limanda,不将计就计划算的话,5,2023-04-30 18:31:45
sanny bka,Semoga ke depannya bisa transfer saldo ke sesama pengguna. Amin,4,2023-04-30 12:02:42
Hendi Winarko,gak bisa di pakai di malang kota..padahal outletnya ada.,1,2023-04-29 04:28:24
M.Tsaqib Alghifari,"Masih banyak yang kurang sih, Terutama di bagian topup ya, Tambahin lagi metode payment, Kayak dana Dll jangan bank doang.",3,2023-04-26 14:50:43
Ray Cova,"sedikit saran ; 1. untuk versi bahasa indonesia koq msh campur aduk bhs inggris ?? jadinya agak berantakan waktu dibaca krn terlalu banyak penggunaannya (kalo satu/ dua kata sih msh bisa ditolelir ya.. ) 2. untuk reward ada beberapa yg tiba2 hilang, padahal blm expired di tanggal/jam tersebut.",3,2023-04-22 02:41:49
ndi ekhy,"Buat akun pengguna baru tp error giliran di sign up mlh g bs, hrs ganti nomor bru n email baru, ribet bgt deh.. saking keselx g bs login aplikasinya ku unistal",1,2023-04-14 23:40:49
Tanto 2023,Hendry Hartanto,5,2023-04-14 12:32:58
Annisaindahpratiwi Indah,Bagus,5,2023-04-12 21:00:04
